iter	Passed	Remaining
416	2902	4057
417	2910	4051
418	2915	4043
419	2922	4035
420	2929	4028
421	2935	4020
422	2942	4014
423	2948	4005
424	2954	3997
425	2961	3990
426	2968	3982
427	2974	3975
428	2982	3969
429	2987	3960
430	2994	3953
431	3000	3945
432	3008	3939
433	3015	3932
434	3021	3923
435	3027	3916
436	3033	3908
437	3041	3902
438	3047	3893
439	3053	3885
440	3060	3878
441	3066	3870
442	3073	3864
443	3079	3856
444	3085	3848
445	3093	3842
446	3099	3834
447	3107	3828
448	3112	3819
449	3119	3812
450	3125	3804
451	3130	3795
452	3143	3795
453	3150	3788
454	3157	3782
455	3163	3774
456	3171	3768
457	3177	3760
458	3185	3754
459	3192	3747
460	3198	3739
461	3207	3734
462	3213	3726
463	3220	3720
464	3226	3712
465	3232	3704
466	3240	3698
467	3248	3692
468	3255	3685
469	3261	3677
470	3269	3671
471	3275	3663
472	3281	3655
473	3287	3648
474	3293	3640
475	3300	3633
476	3307	3626
477	3313	3618
478	3320	3611
479	3326	3604
480	3334	3598
481	3340	3590
482	3348	3583
483	3354	3576
484	3360	3567
485	3368	3562
486	3374	3555
487	3382	3549
488	3388	3540
489	3394	3533
490	3401	3526
491	3407	3518
492	3415	3512
493	3422	3505
494	3429	3498
495	3435	3490
496	3441	3483
497	3449	3476
498	3455	3469
499	3462	3462
500	3468	3454
501	3473	3446
502	3482	3440
503	3489	3434
504	3496	3427
505	3503	3420
506	3511	3414
507	3517	3406
508	3523	3398
509	3531	3392
510	3537	3385
511	3546	3379
512	3553	3373
513	3559	3366
514	3566	3358
515	3572	3350
516	3580	3344
517	3587	3337
518	3598	3335
519	3605	3327
520	3612	3321
521	3618	3313
522	3626	3307
523	3633	3300
524	3641	3294
525	3648	3287
526	3654	3279
527	3661	3273
528	3667	3265
529	3675	3259
530	3681	3251
531	3687	3243
532	3694	3236
533	3700	3229
534	3707	3222
535	3714	3215
536	3720	3207
537	3727	3200
538	3733	3193
539	3740	3186
540	3746	3178
541	3752	3170
542	3759	3164
543	3765	3156
544	3773	3150
545	3779	3142
546	3785	3135
547	3792	3128
548	3798	3120
549	3806	3114
550	3811	3106
551	3817	3098
552	3827	3093
553	3833	3086
554	3841	3079
555	3847	3072
556	3855	3066
557	3861	3058
558	3868	3052
559	3874	3044
560	3881	3037
561	3889	3031
562	3896	3024
563	3903	3017
564	3909	3009
565	3915	3002
566	3923	2996
567	3929	2988
568	3940	2984
569	3946	2977
570	3953	2970
571	3959	2963
572	3967	2956
573	3973	2948
574	3979	2941
575	3986	2934
576	3993	2927
577	4001	2921
578	4007	2914
579	4013	2906
580	4020	2899
581	4026	2891
582	4032	2884
583	4039	2877
584	4045	2870
585	4052	2863
586	4059	2855
587	4066	2849
588	4072	2841
589	4078	2834
590	4085	2827
591	4091	2819
592	4099	2813
593	4105	2805
594	4111	2798
595	4118	2791
596	4123	2783
597	4130	2776
598	4137	2769
599	4144	2763
600	4151	2756
